"id","afip_code"
"base.AED",
"base.AFN",
"base.ALL",
"base.AMD",
"base.ANG",
"base.AOA",
"base.ARS","PES"
"base.AUD","026"
"base.AWG",
"base.AZN",
"base.BAM",
"base.BBD",
"base.BDT",
"base.BGN",
"base.BHD",
"base.BIF",
"base.BMD",
"base.BND",
"base.BOB",
"base.BRL",
"base.BSD",
"base.BTN",
"base.BWP",
"base.BYR",
"base.BZD",
"base.CAD","018"
"base.CDF",
"base.CHF",
"base.CLP",
"base.CNY",
"base.COP",
"base.CRC",
"base.CUP",
"base.CVE",
"base.CYP",
"base.CZK",
"base.DJF",
"base.DKK",
"base.DOP",
"base.DZD",
"base.ECS",
"base.EEK",
"base.EGP",
"base.ERN",
"base.ETB",
"base.EUR",
"base.FJD",
"base.FKP",
"base.GBP","021"
"base.GEL",
"base.GHS",
"base.GIP",
"base.GMD",
"base.GNF",
"base.GWP",
"base.GYD",
"base.HKD",
"base.HNL",
"base.HRK",
"base.HTG",
"base.HUF",
"base.IDR",
"base.ILS",
"base.INR",
"base.IQD",
"base.IRR",
"base.ISK",
"base.ITL",
"base.JMD",
"base.JOD",
"base.JPY","019"
"base.KES",
"base.KGS",
"base.KHR",
"base.KMF",
"base.KPW",
"base.KRW",
"base.KWD",
"base.KYD",
"base.KZT",
"base.LAK",
"base.LBP",
"base.LKR",
"base.LRD",
"base.LSL",
"base.LTL",
"base.LVL",
"base.LYD",
"base.MAD",
"base.MDL",
"base.MGA",
"base.MKD",
"base.MMK",
"base.MNT",
"base.MOP",
"base.MRO",
"base.MUR",
"base.MVR",
"base.MWK",
"base.MXN","010"
"base.MYR",
"base.MZN",
"base.NAD",
"base.NGN",
"base.NIO",
"base.NOK",
"base.NPR",
"base.NZD",
"base.OMR",
"base.PAB",
"base.PEN",
"base.PGK",
"base.PHP",
"base.PKR",
"base.PLN",
"base.PLZ",
"base.PYG",
"base.QAR",
"base.QTQ",
"base.ROL",
"base.RON",
"base.RSD",
"base.RUB",
"base.RUR",
"base.RWF",
"base.SAR",
"base.SBD",
"base.SCR",
"base.SDD",
"base.SEK",
"base.SGD",
"base.SHP",
"base.SIT",
"base.SKK",
"base.SLL",
"base.SOD",
"base.SRG",
"base.SSP",
"base.STD",
"base.SVC",
"base.SYP",
"base.SZL",
"base.THB",
"base.TJR",
"base.TMM",
"base.TND",
"base.TOP",
"base.TPE",
"base.TRL",
"base.TRY",
"base.TTD",
"base.TWD",
"base.TZS",
"base.UAG",
"base.UAH",
"base.UGX",
"base.USD","DOL"
"base.UYP",
"base.UYU","011"
"base.UZS",
"base.VEF","023"
"base.VND",
"base.VUB",
"base.VUV",
"base.WST",
"base.XAF",
"base.XCD",
"base.XOF",
"base.XPF",
"base.YER",
"base.YUM",
"base.ZAR",
"base.ZMK",
"base.ZRZ",
"base.ZWD",
